game,log,mc_value,noise,player,rs_value
liveness,sepsis,0.119,0.25,Seq2@9@1,0.137982
liveness,sepsis,0.04,0.25,Seq2@8@2,0.132986
liveness,sepsis,0.034,0.25,Seq2@7@2,0.042215
liveness,sepsis,0.022,0.25,Seq2@7@4,0.027582
liveness,sepsis,0.018,0.25,Seq2@5@1,0.001789
liveness,sepsis,0.011,0.25,Seq2@7@3,-0.01191
liveness,sepsis,0.001,0.25,Seq2@3@1,-0.011279
liveness,sepsis,0.001,0.25,Seq2@5@2,-0.043329
liveness,sepsis,0.0,0.25,Seq2@5@3,-0.004765
liveness,sepsis,0.0,0.25,Seq4@6,-0.029362
liveness,sepsis,0.0,0.25,Seq2@6,-0.008729
liveness,sepsis,0.0,0.25,Seq2@5@4,-0.007365
liveness,sepsis,0.0,0.25,Seq4@4,-0.023084
liveness,sepsis,0.0,0.25,Seq3@4,-0.041637
liveness,sepsis,0.0,0.25,Seq2@3@2,-0.024437
liveness,sepsis,0.0,0.25,Seq3@2,-0.000876
liveness,sepsis,0.0,0.25,Seq2@1,-0.034927
liveness,sepsis,-0.022,0.25,Seq2@8@3,-0.079664
liveness,sepsis,-0.035,0.25,Seq2@9@2,-0.094721
safety,sepsis,0.0,0.25,Seq2@3@1,0.0
safety,sepsis,0.0,0.25,Seq2@5@1,0.0
safety,sepsis,0.0,0.25,Seq2@5@2,0.0
safety,sepsis,0.0,0.25,Seq2@5@3,0.0
safety,sepsis,0.0,0.25,Seq2@7@1,0.0
safety,sepsis,0.0,0.25,Seq2@9@1,0.0
safety,sepsis,0.0,0.25,Seq2@8@1,0.0
safety,sepsis,0.0,0.25,Seq2@7@2,0.0
safety,sepsis,0.0,0.25,Seq2@8@2,0.0
safety,sepsis,0.0,0.25,Seq2@9@2,0.0
safety,sepsis,0.0,0.25,Seq2@8@3,0.0
safety,sepsis,0.0,0.25,Seq2@7@3,0.0
safety,sepsis,0.0,0.25,Seq2@7@4,0.0
safety,sepsis,0.0,0.25,Seq4@6,0.0
safety,sepsis,0.0,0.25,Seq2@6,0.0
safety,sepsis,0.0,0.25,Seq2@5@4,0.0
safety,sepsis,0.0,0.25,Seq4@4,0.0
safety,sepsis,0.0,0.25,Seq3@4,0.0
safety,sepsis,0.0,0.25,Seq2@3@2,0.0
safety,sepsis,0.0,0.25,Seq3@2,0.0
safety,sepsis,0.0,0.25,Seq2@1,0.0
satisfiability,road_traffic_fines,0.163,0.0,Seq2@10@1,0.276211
satisfiability,road_traffic_fines,0.149,0.0,Seq2@12@2,0.211458
satisfiability,road_traffic_fines,0.137,0.0,Seq2@5@1,0.145492
satisfiability,road_traffic_fines,0.125,0.0,Seq2@3@1,0.184285
satisfiability,road_traffic_fines,0.085,0.0,Seq2@3@2,0.161448
satisfiability,road_traffic_fines,0.082,0.0,Seq2@11,0.061973
satisfiability,road_traffic_fines,0.078,0.0,Seq3@9,0.123288
satisfiability,road_traffic_fines,0.076,0.0,Seq2@9,0.122928
satisfiability,road_traffic_fines,0.066,0.0,Seq2@4@2,0.106388
satisfiability,road_traffic_fines,0.059,0.0,Seq2@10@3,0.068081
satisfiability,road_traffic_fines,0.024,0.0,Seq2@10@2,0.001992
satisfiability,road_traffic_fines,0.01,0.0,Seq2@4@1,-0.027186
satisfiability,road_traffic_fines,0.006,0.0,Seq2@7,-0.049428
satisfiability,road_traffic_fines,0.006,0.0,Seq2@6@2,-0.021666
satisfiability,road_traffic_fines,0.003,0.0,Seq2@8,-0.007363
satisfiability,road_traffic_fines,0.003,0.0,Seq2@5@2,-0.016653
satisfiability,road_traffic_fines,0.001,0.0,Seq2@3@3,-0.032701
satisfiability,road_traffic_fines,0.0,0.0,Seq3@2,-0.038655
satisfiability,road_traffic_fines,0.0,0.0,Seq2@1,-0.041546
satisfiability,road_traffic_fines,-0.029,0.0,Seq2@12@1,-0.098828
satisfiability,road_traffic_fines,-0.044,0.0,Seq2@6@1,-0.100615
liveness,road_traffic_fines,0.001,0.0,Seq2@5@1,0.001393
liveness,road_traffic_fines,0.0,0.0,Seq2@3@1,0.001497
liveness,road_traffic_fines,0.0,0.0,Seq2@3@2,0.001431
liveness,road_traffic_fines,0.0,0.0,Seq2@6@1,-0.000779
liveness,road_traffic_fines,0.0,0.0,Seq2@9,-0.000782
liveness,road_traffic_fines,0.0,0.0,Seq2@10@1,-0.000781
liveness,road_traffic_fines,0.0,0.0,Seq2@10@2,-0.000782
liveness,road_traffic_fines,0.0,0.0,Seq2@12@1,-0.000766
liveness,road_traffic_fines,0.0,0.0,Seq2@12@2,-0.000781
liveness,road_traffic_fines,0.0,0.0,Seq2@11,-0.000773
liveness,road_traffic_fines,0.0,0.0,Seq2@10@3,-0.000754
liveness,road_traffic_fines,0.0,0.0,Seq3@9,-0.000797
liveness,road_traffic_fines,0.0,0.0,Seq2@7,-0.000788
liveness,road_traffic_fines,0.0,0.0,Seq2@6@2,-0.00077
liveness,road_traffic_fines,0.0,0.0,Seq2@5@2,0.001548
liveness,road_traffic_fines,0.0,0.0,Seq2@4@1,-0.000774
liveness,road_traffic_fines,0.0,0.0,Seq2@4@2,-0.000766
liveness,road_traffic_fines,0.0,0.0,Seq2@3@3,-0.000785
liveness,road_traffic_fines,0.0,0.0,Seq3@2,0.001399
liveness,road_traffic_fines,0.0,0.0,Seq2@1,-0.000756
liveness,road_traffic_fines,-0.001,0.0,Seq2@8,-0.000769
safety,road_traffic_fines,0.0,0.0,Seq2@3@1,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@3@2,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@6@1,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@5@1,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@9,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@10@1,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@10@2,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@12@1,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@12@2,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@11,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@10@3,0.0
safety,road_traffic_fines,0.0,0.0,Seq3@9,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@8,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@7,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@6@2,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@5@2,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@4@1,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@4@2,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@3@3,0.0
safety,road_traffic_fines,0.0,0.0,Seq3@2,0.0
safety,road_traffic_fines,0.0,0.0,Seq2@1,0.0
satisfiability,sepsis,0.265,0.0,Seq2@4@1,0.335976
satisfiability,sepsis,0.248,0.0,Seq2@9@2,0.359505
satisfiability,sepsis,0.122,0.0,Seq2@8@1,0.130941
satisfiability,sepsis,0.118,0.0,Seq2@6@1,0.11199
satisfiability,sepsis,0.107,0.0,Seq2@2@1,0.183356
satisfiability,sepsis,0.031,0.0,Seq2@3@3,0.006545
satisfiability,sepsis,0.029,0.0,Seq2@7@4,0.033188
satisfiability,sepsis,0.025,0.0,Seq2@6@3,-0.01138
satisfiability,sepsis,0.022,0.0,Seq2@7@2,0.029439
satisfiability,sepsis,0.022,0.0,Seq4@5@2,0.018034
satisfiability,sepsis,0.019,0.0,Seq2@6@2,0.015029
satisfiability,sepsis,0.019,0.0,Seq2@8@3,-0.007256
satisfiability,sepsis,0.017,0.0,Seq2@7@3,0.014263
satisfiability,sepsis,0.017,0.0,Seq2@9@3,-0.028205
satisfiability,sepsis,0.016,0.0,Seq2@10@2,-0.032662
satisfiability,sepsis,0.009,0.0,Seq2@8@2,-0.008162
satisfiability,sepsis,0.006,0.0,Seq2@6@4,-0.014318
satisfiability,sepsis,0.005,0.0,Seq4@5@1,0.000982
satisfiability,sepsis,0.005,0.0,Seq2@3@2,0.004354
satisfiability,sepsis,0.002,0.0,Seq2@4@2,0.028061
satisfiability,sepsis,0.002,0.0,Seq2@2@2,-0.0198
satisfiability,sepsis,0.0,0.0,Seq3@1,-0.005599
satisfiability,sepsis,-0.01,0.0,Seq3@7,-0.057753
satisfiability,sepsis,-0.016,0.0,Seq2@7@1,-0.045588
satisfiability,sepsis,-0.02,0.0,Seq2@9@1,-0.045588
